,名称,分类,书号,作者
132,万界第一匪,玄幻魔法,5555896,轩辕老树
133,网游之奥术至高,玄幻魔法,1313046,鬼影行者
134,魔法神帝,玄幻魔法,44472,轻风物语
135,网游之血杀天下,玄幻魔法,2121815,膝盖中剑
136,网游之一鸣惊人,玄幻魔法,2424938,冲气为和
137,魅惑邪恶狼王殿下,玄幻魔法,2020644,紫恋云
138,名门闺杀,玄幻魔法,5656386,面北眉南
139,文圣,玄幻魔法,5151654,夜落影
140,末世铁拳,玄幻魔法,1212060,三个马甲
141,母皇再临,玄幻魔法,1919099,檐下雀
142,紫薇帝星在校园,都市言情,33102,三藏大师
143,换一种方式去爱－清穿,都市言情,33100,官官不是官
144,牛气冲天,玄幻魔法,1212321,会亭
145,问情之秦时明月,玄幻魔法,2626604,嬴思檐
146,寒宫冷月,都市言情,33113,玉清魂
147,路过繁华,都市言情,33096,却却
148,问镜,玄幻魔法,22610,减肥专家
149,我当妖怪的日子,玄幻魔法,88382,九戒
150,轻歌传,都市言情,33117,要唱歌的乌云
151,穷途,都市言情,33138,子缜
152,风倾城之莫西北的江湖,都市言情,33132,月下箫声
153,口水校园,都市言情,33126,零下37度
154,蛇蝎,都市言情,33124,雕栏玉砌
155,至尊学校,都市言情,33157,九人行
156,极品天王1,都市言情,33142,凌空望地
157,我是一只狐狸精,都市言情,33148,樱花红破
158,黑色感情线,都市言情,33173,仇若涵
159,血色人型策,都市言情,33209,泰瑞儿
160,腐女重生,都市言情,33207,天外飞鞋
161,陪君醉笑三千场,都市言情,33202,芷清
162,囧炯后妈,都市言情,33197,柒晓妖
163,和我死去的爱说再见,都市言情,33248,梦夜的天空
164,极品死神男友,都市言情,33217,绯雪
165,三千宠爱在一身,都市言情,33160,飞觞
166,转角撞到神,都市言情,33292,爱打瞌睡的虫
167,我为宅狂,都市言情,33288,乡下文章
168,打造娱乐帝国,都市言情,33279,万乘北宸
169,断翎雪——易钗,都市言情,33252,曲罢
170,全职业天才,都市言情,33262,疯狂小马甲
171,超极癌细胞分身,都市言情,33308,岚精灵
172,都市仙缘,都市言情,33297,清修山人
173,大代表,都市言情,22763,良鸣
174,重生之宠物大师,都市言情,22813,疯狂醉酒
175,妙手医仙,都市言情,22798,炫亦
176,现代极品仙人,都市言情,22759,昨日英豪
177,异化,都市言情,33310,愤怒的香蕉
178,秀女嫁给坏王爷,都市言情,22825,淘小丫
179,龙刺,都市言情,22802,莫罗
180,玲珑变,都市言情,22756,皇澈
181,珠光宝气之绝蜜指令,都市言情,33293,浮生如斯
182,穿越之茶言观色,都市言情,22843,坐酌泠泠水
183,金权,都市言情,22838,hotzery1
184,穿越之逍遥都市,都市言情,22834,花心风流
185,泡个情敌做老婆,都市言情,22836,雪漫天舞
186,妖孽足球,都市言情,22830,没有毛衣的羊
187,倾城纳媚,都市言情,22851,疯夜
188,格式人生,都市言情,22872,格式小德
189,异能之无所不能,都市言情,22876,楼少
190,春风沉醉的晚上,都市言情,22930,满座衣冠胜雪
191,杀手特种兵,都市言情,22929,湛蓝的蓝
192,重生之纵横校园,都市言情,33017,骑着乌龟看朝阳
193,星际神农,都市言情,33031,我要的是冬瓜
194,大香港1957,都市言情,22864,镔铁
195,清宫——宛妃传,都市言情,22989,解语
196,宫杀,都市言情,22938,唐小淮
197,巫在人间,都市言情,33005,疯神狂想
198,一朝选在君王侧,都市言情,33047,纯色
199,青蔷天,都市言情,33068,柳如烟
200,穿越之陌上花,都市言情,33062,孤钵
201,掌控现在,都市言情,22847,醉死赛封王
202,背负阳光,都市言情,33073,满座衣冠胜雪
203,极恶皇后,都市言情,33089,蓝惜月
204,混沌美女图,玄幻魔法,1414971,唐门太子
205,大罗飘仙传,玄幻魔法,11347,燕山耕读
206,皇族后裔,玄幻魔法,6262828,平白小生
207,火影系统异界纵横,玄幻魔法,5454528,少黎
208,祸具召唤师,玄幻魔法,1919060,造化斋主
209,带着地下城系统去异界当神棍,玄幻魔法,6767318,苦大且仇深
210,帝幕,玄幻魔法,6363816,落非鱼
211,火影之完美世界,玄幻魔法,3333267,我正减肥中
212,剑啸天下,玄幻魔法,22164,回眸不哭
213,道临洪荒,玄幻魔法,2424053,璀璨流火
214,盗墓仙缘,玄幻魔法,1111472,攀越巅峰
215,精灵毅志,玄幻魔法,11472,上官林
216,劫师,玄幻魔法,1212640,君不见
217,竞芳菲,玄幻魔法,1010893,蔷薇柠檬
218,剑之游侠,玄幻魔法,2222914,方外游侠
219,绝代武神,玄幻魔法,5151984,庚新
220,绝世神皇,玄幻魔法,5757502,不信邪
221,殿上欢,玄幻魔法,1313110,沐非
222,都市之三宫七院,玄幻魔法,1010937,月思行
223,罚魂,玄幻魔法,2525176,二月二十八日
224,多重入侵,玄幻魔法,33684,从容
225,狂力战神,玄幻魔法,5757075,欲所欲为
226,斗战圣皇,玄幻魔法,5656445,纯情犀利哥
227,狼血神探,玄幻魔法,5757009,辰源
228,夺情总裁：豪门老公不及格,玄幻魔法,2323823,豪门老公不及格作者
229,晨风迟，雨落溪,都市言情,22432,幽洇若
230,斗魂,玄幻魔法,0172,云泪天雨
231,神印王座,玄幻魔法,1212028,唐家三少
232,开天,玄幻魔法,6363840,贪狼星
233,蓝茵纪事,都市言情,22425,贵竹
234,神奇铁匠铺,玄幻魔法,6969192,时间海藻
235,大风起兮云飞扬,都市言情,22463,我是老小白
236,杀将,都市言情,22458,橡皮擦
237,道具,都市言情,22452,打神
238,守护美女,都市言情,22438,恨无痕
239,乱世太子妃,都市言情,22503,月斜影清
240,第一公敌,都市言情,22546,冉冬夜
241,非正常人类事务所,都市言情,22539,月池
242,半个梦,都市言情,22526,大饼
243,谁动了老婆的乳房,都市言情,22479,海里海
244,女帝传奇之娉兰,都市言情,22485,卡落落
245,贴身经理人,都市言情,22511,单博
246,逍遥金鳞,都市言情,22588,潇淼
247,黑锅,都市言情,22560,常书欣
248,黑道农民,都市言情,22582,家巧
249,丹医,都市言情,22493,良鸣
250,美女凶猛,都市言情,22548,蓝之颜
251,农商,都市言情,22600,情为红颜醉
252,异世医官录,都市言情,22606,忆文
253,重生之80后,都市言情,22603,江南一梦
254,重生校园追美记,都市言情,22607,庭院深
255,召唤方程式,都市言情,22741,破虚
256,重生之极品公子,都市言情,22735,24K
257,无敌近视眼,都市言情,22662,峨眉小和尚
258,世界那么大,都市言情,22643,末子浪们哪个
259,职场俏佳人,都市言情,22640,市西妖怪
260,超级梦境,都市言情,22729,冰火阑珊
261,超级牛人,都市言情,22742,飘渺奇峰
262,洞房失宠妃,都市言情,33330,水流云在
263,异世道宗,玄幻魔法,7070168,星夜雨
264,星光邪神,玄幻魔法,7070165,请久久安好
265,千恨文,玄幻魔法,1313352,倾色
266,傲世妖皇,玄幻魔法,7070167,善文君子
267,来自地球的杂货店,玄幻魔法,7070171,丙己戈
268,无敌灵神,玄幻魔法,7070176,萝卜红了
269,超级神魔种植园系统,玄幻魔法,7070178,我是甲才
270,成道之后,玄幻魔法,6969558,江九仙
271,万法乾坤,玄幻魔法,7070187,云月风
272,大海盗,玄幻魔法,7070184,提图斯
273,战血重燃,玄幻魔法,7070185,饺子
274,战卡之王,玄幻魔法,7070214,狂风吹吹吹
275,逆神修,玄幻魔法,7070181,羁绊沉迷
276,末法使徒,玄幻魔法,6969469,一溟
277,极光夏皇,玄幻魔法,6969768,晚扬
278,商器,玄幻魔法,6969756,女装小佬
279,龙武战神,玄幻魔法,6464612,罗玛
280,大债主系统,玄幻魔法,6969687,东神少柿天
281,混元武宗,玄幻魔法,6868290,古韵星河
282,反派成神,玄幻魔法,7070203,晓晓双
283,灵魂洞天,玄幻魔法,7070224,GQY
284,背光世界：都市的修魂者,玄幻魔法,7070249,都市的修魂者作者
285,道临八荒,玄幻魔法,7070212,雨雪天
286,武噬诸天,玄幻魔法,6868610,吹晓风
287,还龙传,玄幻魔法,7070268,龙生鱼
288,永恒神纹,玄幻魔法,6969273,星点烽火
289,神话搬运工,玄幻魔法,6969539,三只毛
290,母皇,玄幻魔法,99038,流浪的蛤蟆
291,文运书生,玄幻魔法,7070247,楼中人染相思
292,极品器炼师,玄幻魔法,55954,随性
293,神魔供应商,玄幻魔法,6868309,何处不染尘
294,千门,玄幻魔法,1111756,疯流财子
295,意动天开,玄幻魔法,5555209,兑酒當歌
296,变身奋斗之悲欢,都市言情,22749,千年后的轮回
297,神界魔咒,玄幻魔法,5151875,小小小小小蒜苗
298,天使的右手,都市言情,33091,金水晶
299,Kiss皇室甜心,玄幻魔法,2020539,掌珠颖儿
300,翻手男覆手女,玄幻魔法,33349,泥巴人
301,霸刀苍绝,玄幻魔法,4949802,甘氏天殇
302,方士天书,玄幻魔法,5050274,无酒刘伶
303,兵法大圣,玄幻魔法,6565665,倦听流水
304,百万傀儡兵,玄幻魔法,77087,幻弦
305,冰结师,玄幻魔法,6868983,笔落伊人殇
306,风流战神,玄幻魔法,1414523,第十人
307,埃及神主,玄幻魔法,5555710,老告
308,焚天弑神,玄幻魔法,1111711,夏三丰
309,福晋吉祥,玄幻魔法,1313092,云之锦
310,超级功法,玄幻魔法,5656116,从新
311,长生界,玄幻魔法,66630,辰东
312,苍穹修灵,玄幻魔法,5050324,人生谁伴
313,长嫂难为,玄幻魔法,5656407,纸扇轻摇
314,沧元,玄幻魔法,5050346,艾克斯
315,超级任务日志,玄幻魔法,2424276,冰葑无棱
316,穿到古代选美男,玄幻魔法,1010736,日月冰舞
317,红袍法师,玄幻魔法,1111529,雁鱼
318,红粉深处剑骨凉,玄幻魔法,5858543,紫堇文羽
319,皇天当道,玄幻魔法,5353446,千树梨白
320,超牛管理员,玄幻魔法,1212767,逍遥的流浪汉
321,穿越时空之魅惑罂粟,玄幻魔法,2020590,庞锦
322,恒荒大陆,玄幻魔法,4949682,一株仙草
323,蛊惑魔王,玄幻魔法,6969950,一行白鹭上青天
324,极品被召唤系统,玄幻魔法,6969434,鎏云qd
325,幕后大BOSS,玄幻魔法,6969253,黄鳝粥
326,九天逆仙尊,玄幻魔法,7070371,猪血饼
327,恐怖妖道,玄幻魔法,6868872,柠檬茶不加冰
328,圣灵君王,玄幻魔法,6969563,上官强
329,传奇族长,玄幻魔法,6363419,山人有妙计
330,吞噬魂帝,玄幻魔法,6565813,徐广大
331,学霸,玄幻魔法,7070405,三胖
332,阿卡苏,玄幻魔法,7070374,海清云
333,成人仪式,玄幻魔法,7070414,方士
334,世尊,玄幻魔法,6969762,夜南听风
335,时光术士,玄幻魔法,7070372,白叶真君
336,何方妖孽,玄幻魔法,7070402,凿砚
337,机甲定制大师,玄幻魔法,6969509,刻羽
338,现代高手闯异界,玄幻魔法,6060609,月小喵
339,弒神决,玄幻魔法,7070456,只为你一声
340,末世龙裔领主,玄幻魔法,6868368,游侠列传
341,神级因果系统,玄幻魔法,6969712,盛夏流火
342,众生请起,玄幻魔法,7070440,全家桶
343,神迹之人皇伏羲,玄幻魔法,7070432,萧无虞
344,神武图,玄幻魔法,6767225,醉上空城
345,盖世帝尊,玄幻魔法,6262303,一叶青天
346,通天武帝,玄幻魔法,6767842,一叶青天
347,神级武馆,玄幻魔法,7070330,青铜王老五
348,夜沫,玄幻魔法,7070060,仪敬
349,不死圣尊,玄幻魔法,7070270,码字到天亮
350,驭魔榜,玄幻魔法,7070447,一念却成魔
351,绝世道神,玄幻魔法,5555327,老鼠不怕猫
352,组团上西天,玄幻魔法,6666865,北门小道
353,幼灵,玄幻魔法,7070471,半屏之月
354,斩玄,玄幻魔法,5454570,无痕心尘
355,一枪擎天,玄幻魔法,7070303,闻道天下
356,战神无双,玄幻魔法,7070301,独孤风
357,斗之痕,玄幻魔法,7070293,猪猪侠飞飞
358,我真是召唤师,玄幻魔法,6767282,毅少龙
359,天地武狂,玄幻魔法,7070302,那人独居不好
360,我有无限装备栏,玄幻魔法,6969775,风花雪月白
361,九玄邪尊,玄幻魔法,7070300,疯狂的大米
362,魂逆苍穹,玄幻魔法,7070314,蓝丝缎
363,九霄神王,玄幻魔法,5757105,墨五
364,植物萌娘军团,玄幻魔法,7070259,信誓旦旦
365,烈阳神尊,玄幻魔法,7070007,金沙未扬
366,莫离传,玄幻魔法,6868267,刘三醒
367,承天,玄幻魔法,6969212,星霖子
368,灼魂之血,玄幻魔法,7070241,虚鸣
369,神炼天下,玄幻魔法,6969592,剑钓寒江
370,童话异世界,玄幻魔法,6868236,道天风
371,为己封神,玄幻魔法,6868469,超级大胖
372,不灭长生,玄幻魔法,6969164,菩提明镜
373,武念神帝,玄幻魔法,6969778,风靡网络
374,我的技能来自鬼魂,玄幻魔法,6868274,天堂狱
375,九州毒圣,玄幻魔法,6969153,楚离尘
376,无敌觉醒,玄幻魔法,6868256,炖肉大锅菜
377,超神宗师,玄幻魔法,6868176,一梦几千秋
378,龙零,玄幻魔法,0684,唐尸叁摆首
379,神话现实,玄幻魔法,7070081,江山如此多娇引无数英雄竞折腰
380,问剑诸天,玄幻魔法,6868616,鸡蛋加糖
381,从巨人城废墟开始的探险,玄幻魔法,6969668,湛蓝色的忧郁
382,始于冰与火之歌,玄幻魔法,7070088,我爱吃乌贼
383,逝者巫灵,玄幻魔法,7070077,灵巫绯逝
384,职业超级英雄,玄幻魔法,1212795,穿越闲着
385,画魄升道,玄幻魔法,7070005,訫路
386,西陆英雄传说,玄幻魔法,6767683,游侠列传
387,妖聂无双,玄幻魔法,6969769,骁奕
388,破妄之眸,玄幻魔法,5050642,鬼斗才
389,太古至尊,玄幻魔法,5050653,小相
390,一卦问天,玄幻魔法,6767631,吐舌头的懒猫
391,巫师重建,玄幻魔法,6969876,冰煎饼
392,异世傲天,玄幻魔法,0216,傲月长空
393,龙符,玄幻魔法,6464868,梦入神机
394,禁忌时代,玄幻魔法,6767071,神司命
395,巫师的旅途,玄幻魔法,6969595,好大的白兔
396,魔武始祖,玄幻魔法,6969968,梁家老八
397,星河穿梭者,玄幻魔法,7070117,秋为
398,真武至圣,玄幻魔法,6969739,流浪的写手
399,厨神大世界,玄幻魔法,7070115,紫色de雪色
400,不夜烛,玄幻魔法,7070021,骑着驴子逛超市
401,妖魔大帝,玄幻魔法,6969394,我是吕三少
402,键盘皇,玄幻魔法,6666972,冒牌队长
403,我是野蛮人之王,玄幻魔法,6868960,充电插座
404,天幕神捕,玄幻魔法,6767357,东城令
405,烽皇,玄幻魔法,6666576,瑞根
406,妖翼遮天,玄幻魔法,5959919,时光隐
407,仙暮,玄幻魔法,7070155,烨煊
408,旧日篇章,玄幻魔法,6868313,虚鸣
409,刺客天下,玄幻魔法,7070156,穆公子
410,魔劫,玄幻魔法,7070160,麦啡
411,洪荒殿,玄幻魔法,6969985,毁灭隆音
412,异界剑师,玄幻魔法,6969988,牵手
413,小草崛起,玄幻魔法,6969228,北指
414,天灵途轮回诀,玄幻魔法,6969723,微言小序
415,武灵乾坤,玄幻魔法,6969987,雪夜挥刀
416,绝品神王,玄幻魔法,6969664,木杆钓鱼
417,重生之宗门崛起,玄幻魔法,6464556,皮卡超忍
418,万界神王,玄幻魔法,6969656,做梦的狐狸
419,剑羽轮回,玄幻魔法,6969645,浮沉两望
420,非常猎人,玄幻魔法,4949746,瑞恩
421,火影之大科学家,玄幻魔法,4848846,前兆领袖
422,剑道至尊,玄幻魔法,6969647,瑰夏
423,蛮神图录,玄幻魔法,6969967,陆禅心
424,焚天狂神,玄幻魔法,6969671,熊猫
425,圣皇传,玄幻魔法,6969630,苹果
426,天下第四,玄幻魔法,6969992,俞诺
427,叱咤星河,玄幻魔法,6969972,天下祭司
428,麒帝,玄幻魔法,6969588,庄心月
429,最强仙庭,玄幻魔法,6868338,紫云星空
430,史上最强伪君子,玄幻魔法,6868371,酒宝
431,厨修,玄幻魔法,6969582,地狱模式
432,异界顾问生存指南,玄幻魔法,6363941,缓慢更新
433,魂斗圣神,玄幻魔法,5858177,神勇天涯
434,史上第一嚣张,玄幻魔法,6868323,虚实行者
435,史上最牛暴君,玄幻魔法,6767118,无敌皇上
436,神器种植空间,玄幻魔法,6969682,缠绕在指尖的灵感
437,暗黑大帝,玄幻魔法,5454387,乱世潜龙
438,羽化九州,玄幻魔法,2121029,无语泪千行
439,万道王座,玄幻魔法,7070064,狂奔的牛
440,系统供应商,玄幻魔法,6666949,凿砚
441,神级教师,玄幻魔法,7070055,暗香
442,御兽武神,玄幻魔法,2020729,爱梦的神
443,远古兽魂,玄幻魔法,1111910,燕丫头
444,至尊风水师,玄幻魔法,1111613,花伯伯
445,海外大明,玄幻魔法,1212128,贾不假
446,种剑道,玄幻魔法,5555053,愚人很懒a
447,遮天武圣,玄幻魔法,5454318,忘尘岁月
448,诛帝,玄幻魔法,2222448,白锒
449,占星狮王,玄幻魔法,5151457,傲天凌宇
450,逐倭,玄幻魔法,1111966,幻化苍龙
451,再越神门,玄幻魔法,5050276,暮色幽灵
452,重生之单禁法师,玄幻魔法,1111525,退伍的军人
453,我的妹妹来自日本,玄幻魔法,6767826,魔神吞天
454,众主,玄幻魔法,33039,冬叶
455,纵横一生,玄幻魔法,22916,果肉果冻
456,足球霸王,玄幻魔法,2323869,一个孤独的理由
457,重生大记实,玄幻魔法,1111781,蒹葭苍苍
458,无尽纹章,玄幻魔法,6767820,绯梦之羽
459,诸天之塔,玄幻魔法,2323794,月舞神辉
460,指染成婚，老公别太急,玄幻魔法,6767906,炎水淋
461,风逆天下,玄幻魔法,5858524,一难
462,貌似高手在异界,玄幻魔法,22435,高楼大厦
463,异人傲世录,玄幻魔法,88132,明寐
464,神烬,玄幻魔法,4949911,王诺
465,海贼王之写海贼的好多啊,玄幻魔法,1212051,一生之盟OL
466,异世之堕落天才,玄幻魔法,11033,李闲鱼
467,嘲讽,玄幻魔法,5050963,奥比椰
468,无尽武装,玄幻魔法,0357,缘分0
469,斗神道,玄幻魔法,2424824,任方圆
470,网游之黑夜传说,玄幻魔法,1212704,衍厉
471,戒中山河,玄幻魔法,6969404,90后村长
472,九星战尊,玄幻魔法,6666554,欧团长
473,无限恐怖之追逐,玄幻魔法,2626646,东临碣石以观沧海
474,勇者，2017,玄幻魔法,6969452,魏武道
475,乞生,玄幻魔法,1919156,骑着蜗牛在旅行
476,希瑞传,玄幻魔法,6868961,夜色雨朦胧
477,海贼歌,玄幻魔法,2727600,生性散淡
478,开国功贼,玄幻魔法,77155,酒徒
479,霸天邪皇,玄幻魔法,11737,闰风
480,玄镜司,玄幻魔法,6464773,剑舞秀
481,魔法新时代,玄幻魔法,44154,七尺居士
482,综漫之游,玄幻魔法,2626303,半生闲
483,深渊领主,玄幻魔法,2121013,华曦
484,神秘物语,玄幻魔法,33765,落琴海
485,机关神座,玄幻魔法,6969140,笔指江山
486,带着武功去异界,玄幻魔法,6767575,天秀弟子
487,腹黑相公的庶女宠妻,玄幻魔法,5656334,甜味白开水
488,异界求道传,玄幻魔法,5959804,易飘零
489,武道宗师,玄幻魔法,6666760,爱潜水的乌贼
490,天将夜,玄幻魔法,5959534,八百里
